,nonsense,arabic,english 
190,بشكل 00000,بشكل ,In a way
191,فحسب 00000,فحسب ,Just only
192,عليها 00000,عليها ,on her
193,بـ 00000,بـ ,In
194,العالم 00000,العالم ,the scientist
195,عنه 00000,عنه ,about him
196,الذهاب 00000,الذهاب ,going
197,فعلت 00000,فعلت ,she did
198,هم 00000,هم ,they
199,قال 00000,قال ,He said
200,أكون 00000,أكون ,I be
201,المنزل 00000,المنزل ,the home
202,انك 00000,انك ,You are
203,أفعل 00000,أفعل ,I do
204,فيه 00000,فيه ,in it
205,pos 00000,pos ,pos
206,أعني 00000,أعني ,I mean
207,للغاية 00000,للغاية ,Extremely
208,بين 00000,بين ,between
209,منك 00000,منك ,From you
210,جيدة 00000,جيدة ,Good
211,بشأن 00000,بشأن ,about
212,اللعنة 00000,اللعنة ,the curse
213,أننا 00000,أننا ,We are
214,ها 00000,ها ,Ha
215,عمل 00000,عمل ,a job
216,متى 00000,متى ,when
217,يعني 00000,يعني ,You know?
218,فكرة 00000,فكرة ,idea
219,الأمور 00000,الأمور ,Matters
220,مني 00000,مني ,Mona
221,أظن 00000,أظن ,I suspect
222,أني 00000,أني ,that I
223,كنا 00000,كنا ,We were
224,مجرد 00000,مجرد ,Just
225,المال 00000,المال ,Money
226,أقول 00000,أقول ,I say
227,ستكون 00000,ستكون ,it will be
228,a 00000,a ,A
229,تقول 00000,تقول ,Says
230,أم 00000,أم ,Mother
231,الشيء 00000,الشيء ,Thing
232,هؤلاء 00000,هؤلاء ,these
233,الطريق 00000,الطريق ,The Road
234,تستطيع 00000,تستطيع ,Could you
235,وهذا 00000,وهذا ,and this is
236,بالنسبة 00000,بالنسبة ,about
237,اي 00000,اي ,Which
238,أمر 00000,أمر ,Command
239,معه 00000,معه ,With
240,منه 00000,منه ,from him
241,اعتقد 00000,اعتقد ,Think
242,السيد 00000,السيد ,the master
243,توقف 00000,توقف ,Stop
244,نفس 00000,نفس ,same
245,لما 00000,لما ,when
246,انظر 00000,انظر ,Look
247,تكن 00000,تكن ,Being
248,بدون 00000,بدون ,without
249,الحياة 00000,الحياة ,life
250,بأس 00000,بأس ,Wicked
251,بسبب 00000,بسبب ,because of
252,الجحيم 00000,الجحيم ,Hell
253,حصلت 00000,حصلت ,I got
254,أشعر 00000,أشعر ,I feel
255,أرى 00000,أرى ,Show
256,لكم 00000,لكم ,to you
257,عند 00000,عند ,when
258,الذى 00000,الذى ,that
259,تبدو 00000,تبدو ,Appear
260,الذين 00000,الذين ,Whose
261,تحت 00000,تحت ,under
262,الأشياء 00000,الأشياء ,The things
263,ليلة 00000,ليلة ,a night
264,تعتقد 00000,تعتقد ,U think
265,لكي 00000,لكي ,in order to
266,حيث 00000,حيث ,Where
267,مشكلة 00000,مشكلة ,problem
268,الـ 00000,الـ ,The
269,نفسك 00000,نفسك ,yourself
270,تعال 00000,تعال ,Come
271,الأن 00000,الأن ,Now
272,شيئا 00000,شيئا ,Something
273,أذهب 00000,أذهب ,Go
274,بحاجة 00000,بحاجة ,Need
275,يريد 00000,يريد ,Wants
276,آسفة 00000,آسفة ,sorry
277,وأنت 00000,وأنت ,And you
278,بالفعل 00000,بالفعل ,Already
279,فضلك 00000,فضلك ,Please
280,عزيزتي 00000,عزيزتي ,Darling
281,الوحيد 00000,الوحيد ,the only
282,قتل 00000,قتل ,killing
283,بحق 00000,بحق ,Right
284,طوال 00000,طوال ,throughout
285,بهذه 00000,بهذه ,With this
286,الشخص 00000,الشخص ,the person
287,الشرطة 00000,الشرطة ,the police
288,رأيت 00000,رأيت ,I have seen
289,بنا 00000,بنا ,coffee beans
290,مالذي 00000,مالذي ,Cosmopolitical
291,اريد 00000,اريد ,I want
292,وهو 00000,وهو ,and he
293,أحب 00000,أحب ,Loved
294,أرجوك 00000,أرجوك ,I beg you
295,او 00000,او ,or
296,أيضا 00000,أيضا ,Moreover
297,بل 00000,بل ,but
298,إنهم 00000,إنهم ,that they
299,النار 00000,النار ,fire
300,أكن 00000,أكن ,Be
301,بأنه 00000,بأنه ,As
302,أردت 00000,أردت ,I wanted
303,اجل 00000,اجل ,Yes
304,كبير 00000,كبير ,big
305,سنوات 00000,سنوات ,Years
306,نذهب 00000,نذهب ,We go
307,سمعت 00000,سمعت ,I heard
308,الرجال 00000,الرجال ,Men
309,فيها 00000,فيها ,In which
310,يعرف 00000,يعرف ,Known
311,لابد 00000,لابد ,It must
312,فتاة 00000,فتاة ,girl
313,الباب 00000,الباب ,The Door
314,السيارة 00000,السيارة ,The Car
315,تريدين 00000,تريدين ,You want
316,إلي 00000,إلي ,to me
317,اعرف 00000,اعرف ,I know
318,حياتي 00000,حياتي ,my life
319,انتظر 00000,انتظر ,wait
320,جميع 00000,جميع ,all
321,خارج 00000,خارج ,Outside
322,تذهب 00000,تذهب ,Go
323,ثلاثة 00000,ثلاثة ,three
324,لأنه 00000,لأنه ,Because he
325,فعله 00000,فعله ,To do
326,استطيع 00000,استطيع ,I can
327,والآن 00000,والآن ,And now
328,السبب 00000,السبب ,the reason
329,سبب 00000,سبب ,reason
330,يقول 00000,يقول ,Says
331,دون 00000,دون ,Without
332,كانوا 00000,كانوا ,they were
333,اذهب 00000,اذهب ,Go
334,كبيرة 00000,كبيرة ,big
335,دولار 00000,دولار ,dollar
336,اين 00000,اين ,where
337,أنهم 00000,أنهم ,that they
338,الواقع 00000,الواقع ,Indeed
339,قمت 00000,قمت ,I did
340,منها 00000,منها ,Of which
341,هنالك 00000,هنالك ,there
342,بأنك 00000,بأنك ,You are
343,الأفضل 00000,الأفضل ,Better
344,جميلة 00000,جميلة ,beautiful
345,دائما 00000,دائما ,Always
346,مما 00000,مما ,Than
347,ثانية 00000,ثانية ,second
348,رائعة 00000,رائعة ,amazing
349,نوع 00000,نوع ,Type
350,دعنا 00000,دعنا ,Let's
351,تعرفين 00000,تعرفين ,You know
352,أحتاج 00000,أحتاج ,I need
353,الامر 00000,الامر ,Matter
354,جميل 00000,جميل ,Nice
355,جديد 00000,جديد ,new
356,أنظر 00000,أنظر ,Look
357,للتو 00000,للتو ,just yet
358,سعيد 00000,سعيد ,Happy
359,الحصول 00000,الحصول ,Get
360,ومن 00000,ومن ,And from
361,بكل 00000,بكل ,With all
362,دقيقة 00000,دقيقة ,minute
363,بالضبط 00000,بالضبط ,exactly
364,تعلمين 00000,تعلمين ,Learn
365,غرفة 00000,غرفة ,room
366,المدينة 00000,المدينة ,City
367,الأرض 00000,الأرض ,Earth
368,لحظة 00000,لحظة ,Moment
369,اوه 00000,اوه ,Oh
370,بسرعة 00000,بسرعة ,quickly
371,شيئ 00000,شيئ ,something
372,طريقة 00000,طريقة ,method
373,إليه 00000,إليه ,mechanism
374,الطريقة 00000,الطريقة ,Method
375,أنتم 00000,أنتم ,you all
376,اعلم 00000,اعلم ,Know
377,انهم 00000,انهم ,that they
378,الفتاة 00000,الفتاة ,the girl
379,عيد 00000,عيد ,Feast
380,جون 00000,جون ,John
381,عظيم 00000,عظيم ,great
382,التحدث 00000,التحدث ,Talk
383,جاك 00000,جاك ,Jack
384,لأنني 00000,لأنني ,because I
385,تعمل 00000,تعمل ,Working
386,يعمل 00000,يعمل ,Works
387,نفسي 00000,نفسي ,Myself
388,ايها 00000,ايها ,O you
389,الخاص 00000,الخاص ,The private
390,ألم 00000,ألم ,pain
391,دعني 00000,دعني ,Leave me
392,الله 00000,الله ,Allah
393,عام 00000,عام ,general
394,لديها 00000,لديها ,she has
395,لكنه 00000,لكنه ,But he
396,قام 00000,قام ,Stand up
397,ساعة 00000,ساعة ,hour
398,تتحدث 00000,تتحدث ,Spoke
399,الخير 00000,الخير ,The good
400,لهم 00000,لهم ,for them
401,ولم 00000,ولم ,And not
402,إليك 00000,إليك ,To you
403,سأكون 00000,سأكون ,I'll be
404,رفاق 00000,رفاق ,comrades
405,بينما 00000,بينما ,while
406,ترى 00000,ترى ,See
407,لكنني 00000,لكنني ,But I am
408,لدى 00000,لدى ,I have
409,لى 00000,لى ,Mine
410,شىء 00000,شىء ,something
411,احد 00000,احد ,One
412,المرة 00000,المرة ,Bitter
413,متأكد 00000,متأكد ,sure
414,منهم 00000,منهم ,who are they
415,هى 00000,هى ,she
416,فقد 00000,فقد ,Lost
417,التى 00000,التى ,that
418,يفعل 00000,يفعل ,Do
419,سيارة 00000,سيارة ,car
420,أحاول 00000,أحاول ,I'm trying
421,مات 00000,مات ,Die
422,القيام 00000,القيام ,The performance
423,طريق 00000,طريق ,road
424,سعيدة 00000,سعيدة ,happy
425,عنك 00000,عنك ,About you
426,الموت 00000,الموت ,the death
427,رقم 00000,رقم ,number
428,معها 00000,معها ,with her
429,أقصد 00000,أقصد ,I mean
430,لكني 00000,لكني ,But I am
431,أتمنى 00000,أتمنى ,I hope
432,المزيد 00000,المزيد ,More
433,ذهبت 00000,ذهبت ,I went
434,صغيرة 00000,صغيرة ,Small
435,أول 00000,أول ,first
436,صديقي 00000,صديقي ,My friend
437,الصباح 00000,الصباح ,the morning
438,الأولى 00000,الأولى ,First
439,وجدت 00000,وجدت ,have found
440,الأقل 00000,الأقل ,the least
441,فرصة 00000,فرصة ,Chance
442,علاقة 00000,علاقة ,Relationship
443,أى 00000,أى ,Which
444,غريب 00000,غريب ,a stranger
445,نستطيع 00000,نستطيع ,We can
446,يستطيع 00000,يستطيع ,Can
447,المدرسة 00000,المدرسة ,The school
448,ــ 00000,ــ ,-
449,الرئيس 00000,الرئيس ,President
450,يكفي 00000,يكفي ,It is enough
451,سنة 00000,سنة ,year
452,عشر 00000,عشر ,ten
453,تقوم 00000,تقوم ,get up
454,يتم 00000,يتم ,Complete
455,أتعلم 00000,أتعلم ,you know what
456,إلا 00000,إلا ,Except
457,الأطفال 00000,الأطفال ,children
458,يرام 00000,يرام ,Dramatically
459,أفهم 00000,أفهم ,I understand
460,وقد 00000,وقد ,Having
461,انني 00000,انني ,I am
462,سأذهب 00000,سأذهب ,I will go
463,تأتي 00000,تأتي ,Come
464,لأنك 00000,لأنك ,because you are
465,حالة 00000,حالة ,condition
466,صباح 00000,صباح ,morning
467,يجري 00000,يجري ,Being
468,أفكر 00000,أفكر ,think
469,نفسه 00000,نفسه ,Himself
470,الي 00000,الي ,to me
471,أقوم 00000,أقوم ,I do
472,نفعل 00000,نفعل ,Do
473,حالك 00000,حالك ,You are
474,دقائق 00000,دقائق ,minutes
475,الحب 00000,الحب ,the love
476,يعلم 00000,يعلم ,Know
477,حين 00000,حين ,when
478,رجال 00000,رجال ,men
479,نهاية 00000,نهاية ,End
480,جديدة 00000,جديدة ,New
481,لديهم 00000,لديهم ,They have
482,أخبرني 00000,أخبرني ,tell me
483,الأول 00000,الأول ,the first
484,عزيزي 00000,عزيزي ,Dear
485,لنذهب 00000,لنذهب ,Let's go
486,الجنس 00000,الجنس ,Sex
487,اليس 00000,اليس ,Elice
488,سيدة 00000,سيدة ,Mrs.
489,الخاصة 00000,الخاصة ,Special
490,عني 00000,عني ,About Me
491,بدأت 00000,بدأت ,Start
492,قالت 00000,قالت ,She said
493,نعرف 00000,نعرف ,We know
494,كي 00000,كي ,in order to
495,معنا 00000,معنا ,With us
496,اسمع 00000,اسمع ,Listen
497,حصل 00000,حصل ,happened
498,البيت 00000,البيت ,the house
499,وماذا 00000,وماذا ,and what
500,الصغير 00000,الصغير ,Little
501,الطفل 00000,الطفل ,Child
502,عنها 00000,عنها ,about her
503,الساعة 00000,الساعة ,the hour
504,تفعله 00000,تفعله ,Do it
505,رؤية 00000,رؤية ,Vision
506,حياة 00000,حياة ,life
507,قليلا 00000,قليلا ,Little
508,تحتاج 00000,تحتاج ,need
509,تعني 00000,تعني ,Means
510,أكبر 00000,أكبر ,Larger
511,تكوني 00000,تكوني ,You are
512,أريدك 00000,أريدك ,I want you
513,رأيك 00000,رأيك ,Your opinion
514,لطيف 00000,لطيف ,Nice
515,الليل 00000,الليل ,the night
516,يقوم 00000,يقوم ,get up
517,مهما 00000,مهما ,Whatever
518,أود 00000,أود ,Preach
519,سام 00000,سام ,Toxic
520,اكثر 00000,اكثر ,More
521,أية 00000,أية ,any
522,إنني 00000,إنني ,I am
523,البعض 00000,البعض ,Some
524,بأنني 00000,بأنني ,That I am
525,الهاتف 00000,الهاتف ,the phone
526,تماما 00000,تماما ,completely
527,فهمت 00000,فهمت ,Understood
528,السيدة 00000,السيدة ,Ms
529,طويلة 00000,طويلة ,long
530,أحدهم 00000,أحدهم ,One of them
531,السجن 00000,السجن ,Prison
532,سيدتي 00000,سيدتي ,Madam
533,أقل 00000,أقل ,less
534,والدك 00000,والدك ,Your father
535,ظننت 00000,ظننت ,I thought
536,وليس 00000,وليس ,Not
537,أتحدث 00000,أتحدث ,I speak
538,عبر 00000,عبر ,Across
539,أيام 00000,أيام ,days
540,والدي 00000,والدي ,My father
541,ترجمة 00000,ترجمة ,Translation
542,أخي 00000,أخي ,Brother
543,نحتاج 00000,نحتاج ,We need
544,أبدا 00000,أبدا ,Start
545,فوق 00000,فوق ,above
546,الجديد 00000,الجديد ,the new
547,العودة 00000,العودة ,Return
548,الماضي 00000,الماضي ,Past
549,ل 00000,ل ,to
550,ينبغي 00000,ينبغي ,Should
551,ذات 00000,ذات ,In the same
552,حان 00000,حان ,Come
553,العام 00000,العام ,Year
554,نكون 00000,نكون ,We are
555,وانا 00000,وانا ,Me
556,أيتها 00000,أيتها ,Oh
557,حياتك 00000,حياتك ,Life
558,أحبك 00000,أحبك ,I love you
559,طفل 00000,طفل ,Baby
560,مايكل 00000,مايكل ,Michael
561,الطعام 00000,الطعام ,the food
562,أصبح 00000,أصبح ,had become
563,ط 00000,ط ,I
564,خطأ 00000,خطأ ,Error
565,الماء 00000,الماء ,water
566,وما 00000,وما ,gesticulate
567,نصف 00000,نصف ,Half
568,عليهم 00000,عليهم ,on them
569,سيئة 00000,سيئة ,Bad
570,المفترض 00000,المفترض ,Assumed
571,معرفة 00000,معرفة ,knowledge
572,وهي 00000,وهي ,Which
573,صديق 00000,صديق ,Friend
574,نتحدث 00000,نتحدث ,we are talking
575,داخل 00000,داخل ,inside
576,منزل 00000,منزل ,a house
577,الصغيرة 00000,الصغيرة ,Small
578,سيدى 00000,سيدى ,my lord
579,للمنزل 00000,للمنزل ,For home
580,البقاء 00000,البقاء ,Survival
581,أدري 00000,أدري ,I know
582,ايضا 00000,ايضا ,also
583,نريد 00000,نريد ,We want
584,تشعر 00000,تشعر ,feel
585,فريق 00000,فريق ,Team
586,دكتور 00000,دكتور ,Dr
587,أخبرك 00000,أخبرك ,I tell you
588,صغير 00000,صغير ,young
589,تفعلين 00000,تفعلين ,You do
590,وضع 00000,وضع ,state
591,لكنك 00000,لكنك ,but you are
592,هلا 00000,هلا ,Hello
593,بخصوص 00000,بخصوص ,Regarding
594,طويل 00000,طويل ,long
595,جزء 00000,جزء ,part
596,أشياء 00000,أشياء ,Things
597,أعمل 00000,أعمل ,Work
598,أخذ 00000,أخذ ,Taking
599,تحاول 00000,تحاول ,Tried
600,كلمة 00000,كلمة ,a word
601,منا 00000,منا ,from U.S
602,حق 00000,حق ,right
603,الا 00000,الا ,Except
604,الماضية 00000,الماضية ,Past
605,جو 00000,جو ,Atmosphere
606,اخرى 00000,اخرى ,Other
607,يأتي 00000,يأتي ,Come
608,سأفعل 00000,سأفعل ,I will do
609,اللعين 00000,اللعين ,Dreaded
610,الآخر 00000,الآخر ,The other
611,يمكنه 00000,يمكنه ,Can
612,تظن 00000,تظن ,You think
613,عرفت 00000,عرفت ,I knew
614,بأي 00000,بأي ,With any
615,خذ 00000,خذ ,take
616,النوم 00000,النوم ,sleep
617,تقلق 00000,تقلق ,Worry
618,ثلاث 00000,ثلاث ,three
619,لمدة 00000,لمدة ,Period
620,الأسبوع 00000,الأسبوع ,the week
621,نظرة 00000,نظرة ,a look
622,المرأة 00000,المرأة ,woman
623,وجود 00000,وجود ,Presence
624,بد 00000,بد ,Be
625,اذن 00000,اذن ,Ear
626,الحال 00000,الحال ,adverb
627,المشكلة 00000,المشكلة ,the problem
628,الخروج 00000,الخروج ,Exit
629,ذهب 00000,ذهب ,He went
630,الوحيدة 00000,الوحيدة ,The only one
631,افعل 00000,افعل ,I do
632,الحرب 00000,الحرب ,the war
633,كله 00000,كله ,Entire
634,كثيرا 00000,كثيرا ,Much
635,ونحن 00000,ونحن ,Us
636,i 00000,i ,I
637,وكان 00000,وكان ,Be
638,لأجل 00000,لأجل ,For
639,لكنها 00000,لكنها ,but she
640,بلا 00000,بلا ,without
641,فأنا 00000,فأنا ,I am
642,حاولت 00000,حاولت ,I tried
643,وشك 00000,وشك ,Suspicious
644,عائلة 00000,عائلة ,family
645,الفتيات 00000,الفتيات ,the girls
646,الممكن 00000,الممكن ,Possible
647,انظري 00000,انظري ,Look at
648,أخبرتك 00000,أخبرتك ,I told you
649,افضل 00000,افضل ,better
650,اخر 00000,اخر ,else
651,الخارج 00000,الخارج ,the outside
652,ذا 00000,ذا ,Be
653,جيدا 00000,جيدا ,well
654,عدم 00000,عدم ,non
655,الغرفة 00000,الغرفة ,the room
656,إنك 00000,إنك ,You are
657,العديد 00000,العديد ,Many
658,سيء 00000,سيء ,Bad
659,بيت 00000,بيت ,a house
660,الموضوع 00000,الموضوع ,the topic
661,آه 00000,آه ,Uh
662,المساعدة 00000,المساعدة ,Help
663,اننا 00000,اننا ,We are
664,يذهب 00000,يذهب ,he goes
665,العشاء 00000,العشاء ,dinner
666,خمسة 00000,خمسة ,five
667,أصبحت 00000,أصبحت ,I became
668,مهلا 00000,مهلا ,Hey
669,الفتى 00000,الفتى ,Boy
670,الطبيب 00000,الطبيب ,the doctor
671,بهم 00000,بهم ,They are
672,النساء 00000,النساء ,Women
673,أتعرف 00000,أتعرف ,Know
674,لأني 00000,لأني ,because I am
675,جورج 00000,جورج ,George
676,تعالي 00000,تعالي ,come
677,رسالة 00000,رسالة ,message
678,مايك 00000,مايك ,Mike
679,وحسب 00000,وحسب ,According to
680,يهم 00000,يهم ,Important
681,بالأمر 00000,بالأمر ,By order
682,ساعات 00000,ساعات ,hours
683,نقوم 00000,نقوم ,We do
684,أتذكر 00000,أتذكر ,I remember
685,اني 00000,اني ,that I
686,نيويورك 00000,نيويورك ,New York
687,حينما 00000,حينما ,While
688,الأشخاص 00000,الأشخاص ,People
689,فتى 00000,فتى ,boy
690,بالخارج 00000,بالخارج ,Outside
691,حقيقي 00000,حقيقي ,TRUE
692,تحب 00000,تحب ,Love
693,أنتي 00000,أنتي ,you
694,مباشرة 00000,مباشرة ,directly
695,أهذا 00000,أهذا ,Is this
696,القادمة 00000,القادمة ,Upcoming
697,فترة 00000,فترة ,a period
698,اسم 00000,اسم ,Noun
699,ضد 00000,ضد ,against
700,مجنون 00000,مجنون ,crazy
701,أصدق 00000,أصدق ,believe
702,متأكدة 00000,متأكدة ,Skeptical
703,توجد 00000,توجد ,Exist
704,تحصل 00000,تحصل ,Obtain
705,فرانك 00000,فرانك ,Frank
706,دعونا 00000,دعونا ,We Invited
707,أخر 00000,أخر ,else
708,وسوف 00000,وسوف ,will
709,قصة 00000,قصة ,a story
710,بطريقة 00000,بطريقة ,in a way
711,أعطني 00000,أعطني ,Give me
712,لهذه 00000,لهذه ,For this
713,يحصل 00000,يحصل ,Gets
714,اللقاء 00000,اللقاء ,Meeting
715,زوجتي 00000,زوجتي ,my wife
716,مثلك 00000,مثلك ,same to you
717,وفي 00000,وفي ,In
718,أراك 00000,أراك ,See you
719,النهاية 00000,النهاية ,the end
720,ذاهب 00000,ذاهب ,Going
721,لعبة 00000,لعبة ,Game
722,اى 00000,اى ,Which
723,جي 00000,جي ,J
724,حفلة 00000,حفلة ,a party
725,بواسطة 00000,بواسطة ,by
726,امرأة 00000,امرأة ,a woman
727,حقيقة 00000,حقيقة ,Reality
728,مكتب 00000,مكتب ,Desk
729,الإطلاق 00000,الإطلاق ,Release
730,تشارلي 00000,تشارلي ,Charlie
731,بيتر 00000,بيتر ,Peter
732,بدأ 00000,بدأ ,seem
733,مساعدتك 00000,مساعدتك ,Your help
734,فيما 00000,فيما ,In
735,حاول 00000,حاول ,try to
736,وبعد 00000,وبعد ,After
737,جميعا 00000,جميعا ,All of all
738,بأني 00000,بأني ,By me
739,الحديث 00000,الحديث ,the talk
740,مجموعة 00000,مجموعة ,Collection
741,طلب 00000,طلب ,Request
742,أمام 00000,أمام ,Before
743,الثانية 00000,الثانية ,the second
744,توم 00000,توم ,Tom
745,صورة 00000,صورة ,picture
746,بأنها 00000,بأنها ,That is
747,اسف 00000,اسف ,Sorry
748,مدى 00000,مدى ,Bezel
749,يحاول 00000,يحاول ,Try
750,الجيد 00000,الجيد ,Good
751,عندي 00000,عندي ,I have
752,الهي 00000,الهي ,divine
753,أصدقاء 00000,أصدقاء ,friends
754,ميت 00000,ميت ,dead
755,مثير 00000,مثير ,Thrilling
756,كلها 00000,كلها ,all of which
757,تبقى 00000,تبقى ,Stay
758,تحدث 00000,تحدث ,to speak
759,الجديدة 00000,الجديدة ,New
760,التفكير 00000,التفكير ,Thinking
761,أخرج 00000,أخرج ,Get out
762,إنتظر 00000,إنتظر ,I am waiting
763,لكل 00000,لكل ,for every
764,ولن 00000,ولن ,He will not
765,الأخيرة 00000,الأخيرة ,Last
766,بيننا 00000,بيننا ,Between us
767,عدد 00000,عدد ,Number
