nonsense,arabic,english 
ألا 00000,ألا ,Except
هكذا 00000,هكذا ,thus
الان 00000,الان ,right Now
تم 00000,تم ,It was completed
الحقيقة 00000,الحقيقة ,the truth
أمي 00000,أمي ,Mom
لـ 00000,لـ ,For
حول 00000,حول ,Around
بما 00000,بما ,In
لذلك 00000,لذلك ,So
حقا 00000,حقا ,truly
لديه 00000,لديه ,he have
الجميع 00000,الجميع ,everybody
يمكننا 00000,يمكننا ,We can
لنا 00000,لنا ,Our
حال 00000,حال ,State
لأن 00000,لأن ,because
بالتأكيد 00000,بالتأكيد ,surely
خلال 00000,خلال ,During
بشكل 00000,بشكل ,In a way
فحسب 00000,فحسب ,Just only
عليها 00000,عليها ,on her
بـ 00000,بـ ,In
العالم 00000,العالم ,the scientist
عنه 00000,عنه ,about him
الذهاب 00000,الذهاب ,going
فعلت 00000,فعلت ,she did
هم 00000,هم ,they
قال 00000,قال ,He said
أكون 00000,أكون ,I be
المنزل 00000,المنزل ,the home
انك 00000,انك ,You are
أفعل 00000,أفعل ,I do
فيه 00000,فيه ,in it
pos 00000,pos ,pos
أعني 00000,أعني ,I mean
للغاية 00000,للغاية ,Extremely
بين 00000,بين ,between
منك 00000,منك ,From you
جيدة 00000,جيدة ,Good
بشأن 00000,بشأن ,about
اللعنة 00000,اللعنة ,the curse
أننا 00000,أننا ,We are
ها 00000,ها ,Ha
عمل 00000,عمل ,a job
متى 00000,متى ,when
يعني 00000,يعني ,You know?
فكرة 00000,فكرة ,idea
الأمور 00000,الأمور ,Matters
مني 00000,مني ,Mona
أظن 00000,أظن ,I suspect
أني 00000,أني ,that I
كنا 00000,كنا ,We were
مجرد 00000,مجرد ,Just
المال 00000,المال ,Money
أقول 00000,أقول ,I say
ستكون 00000,ستكون ,it will be
a 00000,a ,A
تقول 00000,تقول ,Says
أم 00000,أم ,Mother
الشيء 00000,الشيء ,Thing
هؤلاء 00000,هؤلاء ,these
الطريق 00000,الطريق ,The Road
تستطيع 00000,تستطيع ,Could you
وهذا 00000,وهذا ,and this is
بالنسبة 00000,بالنسبة ,about
اي 00000,اي ,Which
أمر 00000,أمر ,Command
معه 00000,معه ,With
منه 00000,منه ,from him
اعتقد 00000,اعتقد ,Think
السيد 00000,السيد ,the master
توقف 00000,توقف ,Stop
نفس 00000,نفس ,same
لما 00000,لما ,when
انظر 00000,انظر ,Look
تكن 00000,تكن ,Being
بدون 00000,بدون ,without
الحياة 00000,الحياة ,life
بأس 00000,بأس ,Wicked
بسبب 00000,بسبب ,because of
الجحيم 00000,الجحيم ,Hell
حصلت 00000,حصلت ,I got
أشعر 00000,أشعر ,I feel
أرى 00000,أرى ,Show
لكم 00000,لكم ,to you
عند 00000,عند ,when
الذى 00000,الذى ,that
تبدو 00000,تبدو ,Appear
الذين 00000,الذين ,Whose
تحت 00000,تحت ,under
الأشياء 00000,الأشياء ,The things
ليلة 00000,ليلة ,a night
تعتقد 00000,تعتقد ,U think
لكي 00000,لكي ,in order to
حيث 00000,حيث ,Where
مشكلة 00000,مشكلة ,problem
الـ 00000,الـ ,The
نفسك 00000,نفسك ,yourself
تعال 00000,تعال ,Come
الأن 00000,الأن ,Now
شيئا 00000,شيئا ,Something
أذهب 00000,أذهب ,Go
بحاجة 00000,بحاجة ,Need
يريد 00000,يريد ,Wants
آسفة 00000,آسفة ,sorry
وأنت 00000,وأنت ,And you
بالفعل 00000,بالفعل ,Already
فضلك 00000,فضلك ,Please
عزيزتي 00000,عزيزتي ,Darling
الوحيد 00000,الوحيد ,the only
قتل 00000,قتل ,killing
بحق 00000,بحق ,Right
طوال 00000,طوال ,throughout
بهذه 00000,بهذه ,With this
الشخص 00000,الشخص ,the person
الشرطة 00000,الشرطة ,the police
رأيت 00000,رأيت ,I have seen
بنا 00000,بنا ,coffee beans
مالذي 00000,مالذي ,Cosmopolitical
اريد 00000,اريد ,I want
وهو 00000,وهو ,and he
أحب 00000,أحب ,Loved
أرجوك 00000,أرجوك ,I beg you
او 00000,او ,or
أيضا 00000,أيضا ,Moreover
بل 00000,بل ,but
إنهم 00000,إنهم ,that they
النار 00000,النار ,fire
أكن 00000,أكن ,Be
بأنه 00000,بأنه ,As
أردت 00000,أردت ,I wanted
اجل 00000,اجل ,Yes
كبير 00000,كبير ,big
سنوات 00000,سنوات ,Years
نذهب 00000,نذهب ,We go
سمعت 00000,سمعت ,I heard
الرجال 00000,الرجال ,Men
فيها 00000,فيها ,In which
يعرف 00000,يعرف ,Known
لابد 00000,لابد ,It must
فتاة 00000,فتاة ,girl
الباب 00000,الباب ,The Door
السيارة 00000,السيارة ,The Car
تريدين 00000,تريدين ,You want
إلي 00000,إلي ,to me
اعرف 00000,اعرف ,I know
حياتي 00000,حياتي ,my life
انتظر 00000,انتظر ,wait
جميع 00000,جميع ,all
خارج 00000,خارج ,Outside
تذهب 00000,تذهب ,Go
ثلاثة 00000,ثلاثة ,three
لأنه 00000,لأنه ,Because he
فعله 00000,فعله ,To do
استطيع 00000,استطيع ,I can
والآن 00000,والآن ,And now
السبب 00000,السبب ,the reason
سبب 00000,سبب ,reason
يقول 00000,يقول ,Says
دون 00000,دون ,Without
كانوا 00000,كانوا ,they were
اذهب 00000,اذهب ,Go
كبيرة 00000,كبيرة ,big
دولار 00000,دولار ,dollar
اين 00000,اين ,where
أنهم 00000,أنهم ,that they
الواقع 00000,الواقع ,Indeed
قمت 00000,قمت ,I did
منها 00000,منها ,Of which
هنالك 00000,هنالك ,there
بأنك 00000,بأنك ,You are
الأفضل 00000,الأفضل ,Better
جميلة 00000,جميلة ,beautiful
دائما 00000,دائما ,Always
مما 00000,مما ,Than
ثانية 00000,ثانية ,second
رائعة 00000,رائعة ,amazing
نوع 00000,نوع ,Type
دعنا 00000,دعنا ,Let's
تعرفين 00000,تعرفين ,You know
أحتاج 00000,أحتاج ,I need
الامر 00000,الامر ,Matter
جميل 00000,جميل ,Nice
جديد 00000,جديد ,new
أنظر 00000,أنظر ,Look
للتو 00000,للتو ,just yet
سعيد 00000,سعيد ,Happy
الحصول 00000,الحصول ,Get
ومن 00000,ومن ,And from
بكل 00000,بكل ,With all
دقيقة 00000,دقيقة ,minute
بالضبط 00000,بالضبط ,exactly
تعلمين 00000,تعلمين ,Learn
غرفة 00000,غرفة ,room
المدينة 00000,المدينة ,City
الأرض 00000,الأرض ,Earth
لحظة 00000,لحظة ,Moment
اوه 00000,اوه ,Oh
بسرعة 00000,بسرعة ,quickly
شيئ 00000,شيئ ,something
طريقة 00000,طريقة ,method
إليه 00000,إليه ,mechanism
الطريقة 00000,الطريقة ,Method
أنتم 00000,أنتم ,you all
اعلم 00000,اعلم ,Know
انهم 00000,انهم ,that they
الفتاة 00000,الفتاة ,the girl
عيد 00000,عيد ,Feast
جون 00000,جون ,John
عظيم 00000,عظيم ,great
التحدث 00000,التحدث ,Talk
جاك 00000,جاك ,Jack
لأنني 00000,لأنني ,because I
تعمل 00000,تعمل ,Working
يعمل 00000,يعمل ,Works
نفسي 00000,نفسي ,Myself
ايها 00000,ايها ,O you
الخاص 00000,الخاص ,The private
ألم 00000,ألم ,pain
دعني 00000,دعني ,Leave me
الله 00000,الله ,Allah
عام 00000,عام ,general
لديها 00000,لديها ,she has
لكنه 00000,لكنه ,But he
قام 00000,قام ,Stand up
ساعة 00000,ساعة ,hour
تتحدث 00000,تتحدث ,Spoke
الخير 00000,الخير ,The good
لهم 00000,لهم ,for them
ولم 00000,ولم ,And not
إليك 00000,إليك ,To you
سأكون 00000,سأكون ,I'll be
رفاق 00000,رفاق ,comrades
بينما 00000,بينما ,while
ترى 00000,ترى ,See
لكنني 00000,لكنني ,But I am
لدى 00000,لدى ,I have
لى 00000,لى ,Mine
شىء 00000,شىء ,something
احد 00000,احد ,One
المرة 00000,المرة ,Bitter
متأكد 00000,متأكد ,sure
منهم 00000,منهم ,who are they
هى 00000,هى ,she
فقد 00000,فقد ,Lost
التى 00000,التى ,that
يفعل 00000,يفعل ,Do
سيارة 00000,سيارة ,car
أحاول 00000,أحاول ,I'm trying
مات 00000,مات ,Die
القيام 00000,القيام ,The performance
طريق 00000,طريق ,road
سعيدة 00000,سعيدة ,happy
عنك 00000,عنك ,About you
الموت 00000,الموت ,the death
رقم 00000,رقم ,number
معها 00000,معها ,with her
أقصد 00000,أقصد ,I mean
لكني 00000,لكني ,But I am
أتمنى 00000,أتمنى ,I hope
المزيد 00000,المزيد ,More
ذهبت 00000,ذهبت ,I went
صغيرة 00000,صغيرة ,Small
أول 00000,أول ,first
صديقي 00000,صديقي ,My friend
الصباح 00000,الصباح ,the morning
الأولى 00000,الأولى ,First
وجدت 00000,وجدت ,have found
الأقل 00000,الأقل ,the least
فرصة 00000,فرصة ,Chance
علاقة 00000,علاقة ,Relationship
أى 00000,أى ,Which
غريب 00000,غريب ,a stranger
نستطيع 00000,نستطيع ,We can
يستطيع 00000,يستطيع ,Can
المدرسة 00000,المدرسة ,The school
ــ 00000,ــ ,-
الرئيس 00000,الرئيس ,President
يكفي 00000,يكفي ,It is enough
سنة 00000,سنة ,year
عشر 00000,عشر ,ten
تقوم 00000,تقوم ,get up
يتم 00000,يتم ,Complete
أتعلم 00000,أتعلم ,you know what
إلا 00000,إلا ,Except
الأطفال 00000,الأطفال ,children
يرام 00000,يرام ,Dramatically
أفهم 00000,أفهم ,I understand
وقد 00000,وقد ,Having
انني 00000,انني ,I am
سأذهب 00000,سأذهب ,I will go
تأتي 00000,تأتي ,Come
لأنك 00000,لأنك ,because you are
حالة 00000,حالة ,condition
صباح 00000,صباح ,morning
يجري 00000,يجري ,Being
أفكر 00000,أفكر ,think
نفسه 00000,نفسه ,Himself
الي 00000,الي ,to me
أقوم 00000,أقوم ,I do
نفعل 00000,نفعل ,Do
حالك 00000,حالك ,You are
دقائق 00000,دقائق ,minutes
الحب 00000,الحب ,the love
يعلم 00000,يعلم ,Know
حين 00000,حين ,when
رجال 00000,رجال ,men
نهاية 00000,نهاية ,End
جديدة 00000,جديدة ,New
لديهم 00000,لديهم ,They have
أخبرني 00000,أخبرني ,tell me
الأول 00000,الأول ,the first
عزيزي 00000,عزيزي ,Dear
لنذهب 00000,لنذهب ,Let's go
الجنس 00000,الجنس ,Sex
اليس 00000,اليس ,Elice
سيدة 00000,سيدة ,Mrs.
الخاصة 00000,الخاصة ,Special
عني 00000,عني ,About Me
بدأت 00000,بدأت ,Start
قالت 00000,قالت ,She said
نعرف 00000,نعرف ,We know
كي 00000,كي ,in order to
معنا 00000,معنا ,With us
اسمع 00000,اسمع ,Listen
حصل 00000,حصل ,happened
البيت 00000,البيت ,the house
وماذا 00000,وماذا ,and what
الصغير 00000,الصغير ,Little
الطفل 00000,الطفل ,Child
عنها 00000,عنها ,about her
الساعة 00000,الساعة ,the hour
تفعله 00000,تفعله ,Do it
رؤية 00000,رؤية ,Vision
حياة 00000,حياة ,life
قليلا 00000,قليلا ,Little
تحتاج 00000,تحتاج ,need
تعني 00000,تعني ,Means
أكبر 00000,أكبر ,Larger
تكوني 00000,تكوني ,You are
أريدك 00000,أريدك ,I want you
رأيك 00000,رأيك ,Your opinion
لطيف 00000,لطيف ,Nice
الليل 00000,الليل ,the night
يقوم 00000,يقوم ,get up
مهما 00000,مهما ,Whatever
أود 00000,أود ,Preach
سام 00000,سام ,Toxic
اكثر 00000,اكثر ,More
أية 00000,أية ,any
إنني 00000,إنني ,I am
البعض 00000,البعض ,Some
بأنني 00000,بأنني ,That I am
الهاتف 00000,الهاتف ,the phone
تماما 00000,تماما ,completely
فهمت 00000,فهمت ,Understood
السيدة 00000,السيدة ,Ms
طويلة 00000,طويلة ,long
أحدهم 00000,أحدهم ,One of them
السجن 00000,السجن ,Prison
سيدتي 00000,سيدتي ,Madam
أقل 00000,أقل ,less
والدك 00000,والدك ,Your father
ظننت 00000,ظننت ,I thought
وليس 00000,وليس ,Not
أتحدث 00000,أتحدث ,I speak
عبر 00000,عبر ,Across
أيام 00000,أيام ,days
والدي 00000,والدي ,My father
ترجمة 00000,ترجمة ,Translation
أخي 00000,أخي ,Brother
نحتاج 00000,نحتاج ,We need
أبدا 00000,أبدا ,Start
فوق 00000,فوق ,above
الجديد 00000,الجديد ,the new
العودة 00000,العودة ,Return
الماضي 00000,الماضي ,Past
ل 00000,ل ,to
ينبغي 00000,ينبغي ,Should
ذات 00000,ذات ,In the same
حان 00000,حان ,Come
العام 00000,العام ,Year
نكون 00000,نكون ,We are
وانا 00000,وانا ,Me
أيتها 00000,أيتها ,Oh
حياتك 00000,حياتك ,Life
أحبك 00000,أحبك ,I love you
طفل 00000,طفل ,Baby
مايكل 00000,مايكل ,Michael
الطعام 00000,الطعام ,the food
أصبح 00000,أصبح ,had become
ط 00000,ط ,I
خطأ 00000,خطأ ,Error
الماء 00000,الماء ,water
وما 00000,وما ,gesticulate
نصف 00000,نصف ,Half
عليهم 00000,عليهم ,on them
سيئة 00000,سيئة ,Bad
المفترض 00000,المفترض ,Assumed
معرفة 00000,معرفة ,knowledge
وهي 00000,وهي ,Which
صديق 00000,صديق ,Friend
نتحدث 00000,نتحدث ,we are talking
داخل 00000,داخل ,inside
منزل 00000,منزل ,a house
الصغيرة 00000,الصغيرة ,Small
سيدى 00000,سيدى ,my lord
للمنزل 00000,للمنزل ,For home
البقاء 00000,البقاء ,Survival
أدري 00000,أدري ,I know
ايضا 00000,ايضا ,also
نريد 00000,نريد ,We want
تشعر 00000,تشعر ,feel
فريق 00000,فريق ,Team
دكتور 00000,دكتور ,Dr
أخبرك 00000,أخبرك ,I tell you
صغير 00000,صغير ,young
تفعلين 00000,تفعلين ,You do
وضع 00000,وضع ,state
لكنك 00000,لكنك ,but you are
هلا 00000,هلا ,Hello
بخصوص 00000,بخصوص ,Regarding
طويل 00000,طويل ,long
جزء 00000,جزء ,part
أشياء 00000,أشياء ,Things
أعمل 00000,أعمل ,Work
أخذ 00000,أخذ ,Taking
تحاول 00000,تحاول ,Tried
كلمة 00000,كلمة ,a word
منا 00000,منا ,from U.S
حق 00000,حق ,right
الا 00000,الا ,Except
الماضية 00000,الماضية ,Past
جو 00000,جو ,Atmosphere
اخرى 00000,اخرى ,Other
يأتي 00000,يأتي ,Come
سأفعل 00000,سأفعل ,I will do
اللعين 00000,اللعين ,Dreaded
الآخر 00000,الآخر ,The other
يمكنه 00000,يمكنه ,Can
تظن 00000,تظن ,You think
عرفت 00000,عرفت ,I knew
بأي 00000,بأي ,With any
خذ 00000,خذ ,take
النوم 00000,النوم ,sleep
تقلق 00000,تقلق ,Worry
ثلاث 00000,ثلاث ,three
لمدة 00000,لمدة ,Period
الأسبوع 00000,الأسبوع ,the week
نظرة 00000,نظرة ,a look
المرأة 00000,المرأة ,woman
وجود 00000,وجود ,Presence
بد 00000,بد ,Be
اذن 00000,اذن ,Ear
الحال 00000,الحال ,adverb
المشكلة 00000,المشكلة ,the problem
الخروج 00000,الخروج ,Exit
ذهب 00000,ذهب ,He went
الوحيدة 00000,الوحيدة ,The only one
افعل 00000,افعل ,I do
الحرب 00000,الحرب ,the war
كله 00000,كله ,Entire
كثيرا 00000,كثيرا ,Much
ونحن 00000,ونحن ,Us
i 00000,i ,I
وكان 00000,وكان ,Be
لأجل 00000,لأجل ,For
لكنها 00000,لكنها ,but she
بلا 00000,بلا ,without
فأنا 00000,فأنا ,I am
حاولت 00000,حاولت ,I tried
وشك 00000,وشك ,Suspicious
عائلة 00000,عائلة ,family
الفتيات 00000,الفتيات ,the girls
الممكن 00000,الممكن ,Possible
انظري 00000,انظري ,Look at
أخبرتك 00000,أخبرتك ,I told you
افضل 00000,افضل ,better
اخر 00000,اخر ,else
الخارج 00000,الخارج ,the outside
ذا 00000,ذا ,Be
جيدا 00000,جيدا ,well
عدم 00000,عدم ,non
الغرفة 00000,الغرفة ,the room
إنك 00000,إنك ,You are
العديد 00000,العديد ,Many
سيء 00000,سيء ,Bad
بيت 00000,بيت ,a house
الموضوع 00000,الموضوع ,the topic
آه 00000,آه ,Uh
المساعدة 00000,المساعدة ,Help
اننا 00000,اننا ,We are
يذهب 00000,يذهب ,he goes
العشاء 00000,العشاء ,dinner
خمسة 00000,خمسة ,five
أصبحت 00000,أصبحت ,I became
مهلا 00000,مهلا ,Hey
الفتى 00000,الفتى ,Boy
الطبيب 00000,الطبيب ,the doctor
بهم 00000,بهم ,They are
النساء 00000,النساء ,Women
أتعرف 00000,أتعرف ,Know
لأني 00000,لأني ,because I am
جورج 00000,جورج ,George
تعالي 00000,تعالي ,come
رئيس 00000,رئيس ,president
رسالة 00000,رسالة ,message
مايك 00000,مايك ,Mike
وحسب 00000,وحسب ,According to
يهم 00000,يهم ,Important
بالأمر 00000,بالأمر ,By order
ساعات 00000,ساعات ,hours
نقوم 00000,نقوم ,We do
أتذكر 00000,أتذكر ,I remember
اني 00000,اني ,that I
نيويورك 00000,نيويورك ,New York
حينما 00000,حينما ,While
الأشخاص 00000,الأشخاص ,People
فتى 00000,فتى ,boy
بالخارج 00000,بالخارج ,Outside
حقيقي 00000,حقيقي ,TRUE
تحب 00000,تحب ,Love
أنتي 00000,أنتي ,you
مباشرة 00000,مباشرة ,directly
أهذا 00000,أهذا ,Is this
القادمة 00000,القادمة ,Upcoming
فترة 00000,فترة ,a period
اسم 00000,اسم ,Noun
ضد 00000,ضد ,against
مجنون 00000,مجنون ,crazy
أصدق 00000,أصدق ,believe
متأكدة 00000,متأكدة ,Skeptical
توجد 00000,توجد ,Exist
تحصل 00000,تحصل ,Obtain
فرانك 00000,فرانك ,Frank
دعونا 00000,دعونا ,We Invited
أخر 00000,أخر ,else
وسوف 00000,وسوف ,will
قصة 00000,قصة ,a story
بطريقة 00000,بطريقة ,in a way
أعطني 00000,أعطني ,Give me
لهذه 00000,لهذه ,For this
يحصل 00000,يحصل ,Gets
اللقاء 00000,اللقاء ,Meeting
زوجتي 00000,زوجتي ,my wife
مثلك 00000,مثلك ,same to you
وفي 00000,وفي ,In
أراك 00000,أراك ,See you
النهاية 00000,النهاية ,the end
ذاهب 00000,ذاهب ,Going
لعبة 00000,لعبة ,Game
اى 00000,اى ,Which
جي 00000,جي ,J
حفلة 00000,حفلة ,a party
بواسطة 00000,بواسطة ,by
امرأة 00000,امرأة ,a woman
حقيقة 00000,حقيقة ,Reality
مكتب 00000,مكتب ,Desk
الإطلاق 00000,الإطلاق ,Release
تشارلي 00000,تشارلي ,Charlie
بيتر 00000,بيتر ,Peter
بدأ 00000,بدأ ,seem
مساعدتك 00000,مساعدتك ,Your help
فيما 00000,فيما ,In
حاول 00000,حاول ,try to
وبعد 00000,وبعد ,After
جميعا 00000,جميعا ,All of all
بأني 00000,بأني ,By me
الحديث 00000,الحديث ,the talk
مجموعة 00000,مجموعة ,Collection
طلب 00000,طلب ,Request
أمام 00000,أمام ,Before
الثانية 00000,الثانية ,the second
توم 00000,توم ,Tom
صورة 00000,صورة ,picture
بأنها 00000,بأنها ,That is
اسف 00000,اسف ,Sorry
مدى 00000,مدى ,Bezel
يحاول 00000,يحاول ,Try
الجيد 00000,الجيد ,Good
عندي 00000,عندي ,I have
الهي 00000,الهي ,divine
أصدقاء 00000,أصدقاء ,friends
ميت 00000,ميت ,dead
مثير 00000,مثير ,Thrilling
كلها 00000,كلها ,all of which
تبقى 00000,تبقى ,Stay
تحدث 00000,تحدث ,to speak
الجديدة 00000,الجديدة ,New
التفكير 00000,التفكير ,Thinking
أخرج 00000,أخرج ,Get out
إنتظر 00000,إنتظر ,I am waiting
لكل 00000,لكل ,for every
ولن 00000,ولن ,He will not
الأخيرة 00000,الأخيرة ,Last
بيننا 00000,بيننا ,Between us
عدد 00000,عدد ,Number
فهو 00000,فهو ,Being
تفهم 00000,تفهم ,Understand
كهذا 00000,كهذا ,Like this
أتريد 00000,أتريد ,you want to
أحضر 00000,أحضر ,Bring
بشيء 00000,بشيء ,Something
سوى 00000,سوى ,but
موعد 00000,موعد ,date
أشهر 00000,أشهر ,Months
مدينة 00000,مدينة ,city
ممكن 00000,ممكن ,maybe
بعضنا 00000,بعضنا ,Some of us
لسنا 00000,لسنا ,We are not
الواضح 00000,الواضح ,Clear
الكبير 00000,الكبير ,Great
انتهى 00000,انتهى ,is over
النوع 00000,النوع ,Type
you 00000,you ,You
الملك 00000,الملك ,the king
إليها 00000,إليها ,to her
الوضع 00000,الوضع ,the situation
العائلة 00000,العائلة ,the family
ذو 00000,ذو ,Baccalaureate
أسمع 00000,أسمع ,Listen
قادم 00000,قادم ,coming
شركة 00000,شركة ,a company
هذة 00000,هذة ,this is
بنفسك 00000,بنفسك ,by yourself
تأخذ 00000,تأخذ ,Take
تخبرني 00000,تخبرني ,You tell me
الزواج 00000,الزواج ,marriage
أتيت 00000,أتيت ,I came
نحو 00000,نحو ,Toward
ولكني 00000,ولكني ,But
إذهب 00000,إذهب ,Go
مليون 00000,مليون ,million
صاح 00000,صاح ,Hoot
نسيت 00000,نسيت ,I forgot
القضية 00000,القضية ,the case
عملية 00000,عملية ,proces
حبيبتي 00000,حبيبتي ,My love
د 00000,د ,Dr
مستحيل 00000,مستحيل ,No way
فعلته 00000,فعلته ,I did it
الحق 00000,الحق ,Right
الرب 00000,الرب ,God
ذاك 00000,ذاك ,that
الأخرى 00000,الأخرى ,The other
عدة 00000,عدة ,several
آمل 00000,آمل ,hopefull
وكل 00000,وكل ,And all
دي 00000,دي ,De
علم 00000,علم ,Science
تذكر 00000,تذكر ,to remember
تعود 00000,تعود ,Return
خمس 00000,خمس ,five
أمك 00000,أمك ,Your mother
اعتقدت 00000,اعتقدت ,I believed
سيحدث 00000,سيحدث ,It will happen
قول 00000,قول ,say
يحتاج 00000,يحتاج ,Need
ألف 00000,ألف ,one thousand
اكون 00000,اكون ,I be
أثناء 00000,أثناء ,during
ولكنه 00000,ولكنه ,But
طلبت 00000,طلبت ,Requested
قيد 00000,قيد ,Restriction
خلف 00000,خلف ,behind
وصلت 00000,وصلت ,Arrived
دعيني 00000,دعيني ,Leave me
الحظ 00000,الحظ ,Luck
تعتقدين 00000,تعتقدين ,You think
بعدها 00000,بعدها ,Then
تفكر 00000,تفكر ,Contemplate
صعب 00000,صعب ,Difficult
قل 00000,قل ,Say
نعلم 00000,نعلم ,Teach
ابن 00000,ابن ,Son
the 00000,the ,The
تصبح 00000,تصبح ,Become
عرض 00000,عرض ,Show
زلت 00000,زلت ,Remove
الصعب 00000,الصعب ,Difficult
مهم 00000,مهم ,Important
انتظري 00000,انتظري ,Wait
تفضل 00000,تفضل ,please enter
أربعة 00000,أربعة ,four
منكم 00000,منكم ,You are from you
أتعلمين 00000,أتعلمين ,You know
مساعدة 00000,مساعدة ,help
اسمه 00000,اسمه ,its name
